NULL
There	EX	_ <O>
are	VBP	_ <O>
also	RB	_ <O>
a	DT	_ <O>
few	JJ	_ <O>
references	NNS	_ <O>
to	IN	_ <O>
Perseus	NNP	_ <O>
in	IN	_ <O>
the	DT	_ <O>
VENONA	NNP	_ <O>
decrypts	NNS	_ <O>
as	IN	_ <O>
PERS.	NNP	_ <O>

NULL
'	``	_ <O>
Perseus	NNP	_ <O>
'	''	_ <O>
was	VBD	_ <O>
the	DT	_ <O>
codename	NN	_ <O>
of	IN	_ <O>
a	DT	_ <O>
possible	JJ	_ <O>
Soviet	JJ	_ <O>
spy	NN	_ <O>
alleged	VBN	<B-CUE>
to	TO	_ <O>
have	VB	_ <O>
breached	VBN	_ <O>
U.S.	NNP	_ <O>
national	JJ	_ <O>
security	NN	_ <O>
at	IN	_ <O>
Los	NNP	_ <O>
Alamos	NNP	_ <O>
during	IN	_ <O>
the	DT	_ <O>
Manhattan	NNP	_ <O>
project	NN	_ <O>
.	.	_ <O>

NULL
The	DT	_ <O>
identity	NN	_ <O>
of	IN	_ <O>
this	DT	_ <O>
person	NN	_ <O>
,	,	_ <O>
or	CC	_ <O>
even	RB	_ <O>
whether	IN	<B-CUE>
or	CC	_ <O>
not	RB	_ <O>
they	PRP	_ <O>
actually	RB	_ <O>
existed	VBD	_ <O>
,	,	_ <O>
is	VBZ	_ <O>
unknown	JJ	_ <O>
,	,	_ <O>
and	CC	_ <O>
many	JJ	<B-CUE>
of	IN	<I-CUE>
the	DT	<I-CUE>
facts	NNS	<I-CUE>
in	IN	_ <O>
the	DT	_ <O>
matter	NN	_ <O>
are	VBP	_ <O>
questionable	JJ	<B-CUE>
.	.	_ <O>

NULL
'	``	_ <O>
Perseus	NNP	_ <O>
'	''	_ <O>
was	VBD	_ <O>
the	DT	_ <O>
codename	NN	_ <O>
of	IN	_ <O>
a	DT	_ <O>
possible	JJ	_ <O>
Soviet	JJ	_ <O>
spy	NN	_ <O>
alleged	VBN	<B-CUE>
to	TO	_ <O>
have	VB	_ <O>
breached	VBN	_ <O>
U.S.	NNP	_ <O>
national	JJ	_ <O>
security	NN	_ <O>
at	IN	_ <O>
Los	NNP	_ <O>
Alamos	NNP	_ <O>
during	IN	_ <O>
the	DT	_ <O>
Manhattan	NNP	_ <O>
project	NN	_ <O>
.	.	_ <O>

NULL
The	DT	_ <O>
identity	NN	_ <O>
of	IN	_ <O>
this	DT	_ <O>
person	NN	_ <O>
,	,	_ <O>
or	CC	_ <O>
even	RB	_ <O>
whether	IN	<B-CUE>
or	CC	_ <O>
not	RB	_ <O>
they	PRP	_ <O>
actually	RB	_ <O>
existed	VBD	_ <O>
,	,	_ <O>
is	VBZ	_ <O>
unknown	JJ	_ <O>
,	,	_ <O>
and	CC	_ <O>
many	JJ	<B-CUE>
of	IN	<I-CUE>
the	DT	<I-CUE>
facts	NNS	<I-CUE>
in	IN	_ <O>
the	DT	_ <O>
matter	NN	_ <O>
are	VBP	_ <O>
questionable	JJ	<B-CUE>
.	.	_ <O>

NULL
